Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             159.691     -6.991         184.243    456.470
N                                 175.868     82.447         128.509    340.021
M                                 235.242    -31.593         185.048    486.039
k1                                383.863    -20.902         236.672    678.247
k2                                171.687     49.017         119.700    329.844
tau1                               84.121      4.684          87.290    217.693
tau2                              295.573     36.660         194.351    541.696
tauAch                            350.645    137.828         180.382    525.551
tauNor                            344.821    -61.473         176.720    530.421
beta                              290.193    169.896         195.271    518.505
h0                                576.996     37.552         238.979    813.743
mNor                              339.200     27.995         220.027    597.608
mAch                              478.885    221.219         242.032    722.020
