Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             138.602     -5.875         163.017    398.630
N                                 257.344     50.151         194.888    524.755
M                                 209.731    -36.958         164.450    436.831
k1                                322.365    -16.639         210.847    580.932
k2                                148.395     44.833         102.078    281.482
tau1                               68.521      6.049          71.531    181.574
tau2                              249.552     32.574         167.237    465.854
tauAch                            304.464    113.678         151.905    462.456
tauNor                            315.239    -40.321         156.120    476.722
beta                              294.962    190.067         187.835    509.141
h0                                566.527     79.782         243.969    801.789
mNor                              310.322     35.327         171.261    517.177
mAch                              422.655    195.255         210.969    626.165
