Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             155.055     -4.098         171.092    440.672
N                                 160.840     86.343         126.042    327.947
M                                 228.294    -29.377         173.486    475.356
k1                                384.275    -20.848         227.503    671.082
k2                                167.051     46.435         128.477    331.959
tau1                               81.613      0.834          87.701    217.862
tau2                              294.942     38.371         188.341    540.306
tauAch                            354.157    141.988         175.954    532.628
tauNor                            344.394    -65.984         169.193    529.705
beta                              287.559    167.061         191.739    514.349
h0                                565.125     26.764         245.427    807.923
mNor                              331.889     28.607         203.347    592.654
mAch                              472.068    223.410         232.004    714.498
