Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.048     -5.810         167.382    424.346
N                                 144.717     85.527         125.953    319.006
M                                 223.226    -27.198         170.122    466.857
k1                                383.493    -24.963         229.347    666.362
k2                                166.588     46.696         133.402    340.159
tau1                               78.512      1.454          88.218    221.674
tau2                              295.639     39.715         190.695    542.177
tauAch                            352.039    140.633         173.777    529.784
tauNor                            337.325    -69.473         171.033    521.068
beta                              283.935    163.150         186.612    509.213
h0                                553.330     25.953         248.242    797.559
mNor                              328.408     29.752         198.179    594.473
mAch                              468.969    226.736         245.919    713.609
