Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.024    -15.107         180.123    440.605
N                                 143.057     96.009         123.930    309.736
M                                 223.387    -28.014         174.327    463.598
k1                                382.480    -25.878         233.102    675.860
k2                                167.992     51.674         122.983    331.853
tau1                               81.885      5.769          83.513    217.727
tau2                              296.394     38.220         190.516    539.643
tauAch                            341.503    131.184         174.238    507.675
tauNor                            322.632    -63.611         166.118    507.650
beta                              275.198    155.617         186.014    498.770
h0                                541.104     22.138         230.072    776.307
mNor                              328.507     32.646         206.924    593.163
mAch                              475.809    227.364         248.021    717.285
