Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             144.626     -4.358         166.278    414.246
N                                 144.770     81.204         123.799    314.422
M                                 218.781    -27.345         171.004    458.042
k1                                373.831    -23.650         225.832    648.803
k2                                163.037     45.334         119.475    332.421
tau1                               76.359      1.693          89.246    217.228
tau2                              288.665     38.984         184.167    529.113
tauAch                            345.353    137.897         170.273    519.725
tauNor                            331.941    -68.038         167.272    511.397
beta                              279.207    160.609         193.584    499.397
h0                                543.294     28.035         239.427    782.753
mNor                              322.221     28.704         199.935    580.271
mAch                              457.766    220.508         243.506    696.171
