Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             155.805     -2.973         180.024    441.560
N                                 159.768     88.598         133.480    330.669
M                                 231.208    -27.838         174.735    479.982
k1                                393.107    -21.676         237.529    682.118
k2                                171.617     44.989         129.185    340.699
tau1                               82.419     -1.131          89.211    221.716
tau2                              302.024     38.930         196.463    550.598
tauAch                            364.001    147.007         184.377    545.830
tauNor                            350.327    -69.625         175.603    538.311
beta                              292.315    169.681         192.374    522.663
h0                                572.501     23.781         257.223    821.114
mNor                              336.199     28.280         215.977    603.172
mAch                              479.208    227.819         237.587    726.334
