Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             157.788     -3.990         173.304    448.158
N                                 167.345     95.337         134.486    334.462
M                                 231.219    -33.652         176.338    483.135
k1                                387.872    -20.434         230.797    679.403
k2                                167.248     49.178         127.424    329.660
tau1                               82.543      0.164          82.902    215.645
tau2                              298.850     38.043         192.119    549.189
tauAch                            358.508    142.110         177.615    539.388
tauNor                            353.935    -71.504         166.586    539.342
beta                              296.302    171.894         199.894    522.989
h0                                573.900     19.053         243.411    817.879
mNor                              342.044     25.920         210.698    598.413
mAch                              478.294    227.283         258.395    724.929
