Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             100.499     -9.833         116.867    294.701
N                                  94.903     62.463          84.095    212.881
M                                 151.579    -19.944         122.797    317.472
k1                                261.690    -19.852         164.259    459.821
k2                                113.902     36.481          85.514    232.118
tau1                               53.513      4.366          60.293    151.781
tau2                              203.001     27.756         136.251    372.754
tauAch                            234.789     89.709         112.090    351.866
tauNor                            222.293    -45.384         116.473    349.198
beta                              190.076    106.929         134.275    343.716
h0                                371.766     17.018         161.515    535.318
mNor                              225.461     23.522         142.572    409.239
mAch                              324.747    158.440         173.166    492.784
