Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.610    -12.079         176.993    434.994
N                                 140.977     95.035         125.769    311.747
M                                 222.837    -28.297         168.077    464.060
k1                                386.243    -26.370         240.599    676.508
k2                                166.723     50.999         126.001    334.863
tau1                               80.342      2.672          84.790    218.874
tau2                              298.040     38.832         204.717    544.552
tauAch                            346.593    135.597         168.608    517.672
tauNor                            329.372    -66.213         172.447    514.310
beta                              277.498    157.249         193.817    502.440
h0                                544.868     19.203         234.152    784.298
mNor                              327.501     32.862         213.324    595.090
mAch                              473.456    230.004         240.076    718.758
