Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.078     -3.453         173.634    424.416
N                                 153.929     80.495         125.887    325.166
M                                 224.092    -29.059         179.463    469.628
k1                                381.028    -23.566         223.219    661.551
k2                                165.964     46.703         122.734    337.352
tau1                               77.983      1.526          90.731    220.788
tau2                              294.364     39.409         190.970    539.913
tauAch                            352.521    141.082         175.244    531.429
tauNor                            341.342    -68.746         167.309    524.561
beta                              286.705    165.409         189.531    511.357
h0                                558.241     30.154         240.058    802.515
mNor                              330.096     29.199         206.344    591.642
mAch                              466.433    224.353         244.543    709.919
