Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.924     -4.293         168.947    428.583
N                                 156.545     81.140         126.255    327.439
M                                 225.498    -29.060         177.018    471.865
k1                                382.202    -23.650         223.135    665.002
k2                                166.742     46.804         125.884    337.218
tau1                               78.755      1.628          89.164    220.026
tau2                              294.999     39.446         187.991    541.525
tauAch                            353.550    140.786         168.896    532.777
tauNor                            341.734    -68.129         166.002    526.147
beta                              287.803    166.427         190.514    513.415
h0                                562.033     29.637         243.005    805.781
mNor                              331.168     29.426         203.251    593.970
mAch                              469.011    225.565         253.419    713.208
