Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                               0.000      0.000           0.000      0.000
N                                   0.000      0.000           0.000      0.000
M                                   0.000      0.000           0.000      0.000
k1                                  0.000      0.000           0.000      0.000
k2                                  0.000      0.000           0.000      0.000
tau1                                0.000      0.000           0.000      0.000
tau2                                0.000      0.000           0.000      0.000
tauAch                              0.000      0.000           0.000      0.000
tauNor                         38718277060815188945534976.000 38718277060815188945534976.000 74076344517167742820810752.000 173153398959307170227683328.000
beta                                0.000      0.000           0.000      0.000
h0                                  0.000      0.000           0.000      0.000
mNor                                0.000      0.000           0.000      0.000
mAch                                0.000      0.000           0.000      0.000
