Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             125.606     -0.976         137.642    352.951
N                                 136.697     63.047         111.030    276.143
M                                 186.737    -25.360         145.017    390.985
k1                                312.470    -17.744         187.237    542.921
k2                                136.945     37.991          99.311    275.165
tau1                               64.507      1.154          71.601    180.609
tau2                              241.833     32.242         157.106    443.209
tauAch                            292.400    116.829         142.945    440.932
tauNor                            285.493    -55.601         138.185    436.690
beta                              239.243    138.972         152.951    424.618
h0                                466.582     27.862         205.400    668.007
mNor                              274.065     23.554         170.755    485.772
mAch                              383.752    182.945         196.108    583.175
