Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              81.240      2.214          88.826    221.774
N                                  94.180     36.500          69.538    181.573
M                                 118.604    -16.534          94.342    247.684
k1                                194.703     -9.383         113.885    336.910
k2                                 86.714     22.387          63.126    170.543
tau1                               40.558     -0.035          45.642    112.207
tau2                              151.389     19.831          94.478    275.690
tauAch                            186.579     74.823          94.178    281.153
tauNor                            183.407    -34.751          88.405    278.413
beta                              153.112     89.850          99.186    269.437
h0                                297.961     19.719         122.265    425.557
mNor                              173.415     13.409          97.705    302.315
mAch                              238.959    112.116         124.864    362.567
