Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             177.350     -0.046         200.455    491.275
N                                 285.895     73.833         189.439    524.323
M                                 253.407    -59.685         199.064    536.174
k1                                361.653     -7.272         243.960    673.545
k2                                168.811     56.992         100.865    300.396
tau1                               78.913      4.466          72.240    188.339
tau2                              291.781     28.500         191.062    539.524
tauAch                            354.175    125.902         186.376    543.326
tauNor                            386.862    -35.770         180.152    583.518
beta                              329.730    206.019         222.391    570.167
h0                                651.462     73.192         263.164    904.203
mNor                              364.160     32.064         189.978    581.563
mAch                              494.786    213.171         245.917    725.249
