Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             140.920     -9.365         161.745    414.920
N                                 133.683     84.998         120.841    306.821
M                                 215.742    -27.251         177.573    453.372
k1                                371.707    -26.134         227.578    650.157
k2                                160.361     48.148         123.450    331.382
tau1                               76.071      3.809          87.756    216.102
tau2                              285.981     39.293         188.820    528.507
tauAch                            336.828    132.476         177.000    509.170
tauNor                            322.690    -66.423         165.518    502.261
beta                              273.303    155.942         191.986    492.862
h0                                534.141     25.482         231.631    769.978
mNor                              318.589     30.828         198.430    580.197
mAch                              458.414    222.743         243.740    697.467
