Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             136.779     -3.576         161.642    390.371
N                                 139.492     75.042         118.917    297.642
M                                 205.876    -26.513         156.236    431.606
k1                                350.514    -21.801         207.602    608.775
k2                                152.736     42.921         117.441    310.763
tau1                               71.734      1.590          80.155    203.364
tau2                              270.689     36.441         171.793    496.641
tauAch                            324.183    129.528         164.676    488.496
tauNor                            313.146    -63.407         160.199    481.847
beta                              263.174    151.640         182.880    469.913
h0                                512.467     27.322         225.885    737.240
mNor                              303.361     26.976         186.752    544.377
mAch                              429.513    206.549         220.446    653.358
