Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.000     -1.895         168.764    444.471
N                                 177.118     78.171         126.871    346.641
M                                 232.727    -31.582         178.645    483.851
k1                                388.567    -20.814         226.445    677.040
k2                                168.860     46.963         121.657    334.847
tau1                               81.892     -0.006          84.371    219.173
tau2                              299.214     38.403         189.790    548.070
tauAch                            360.308    145.011         176.916    543.272
tauNor                            354.535    -65.575         177.543    540.853
beta                              294.966    172.082         193.243    524.304
h0                                579.244     30.410         245.470    824.871
mNor                              337.960     29.120         206.987    599.903
mAch                              475.467    226.941         249.687    722.297
