Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.649     -5.231         171.512    440.448
N                                 153.805     90.125         130.437    325.517
M                                 228.924    -28.349         180.545    476.158
k1                                390.880    -22.871         249.593    680.714
k2                                168.784     46.853         121.370    338.313
tau1                               81.895     -0.189          86.813    220.422
tau2                              299.784     38.780         203.782    549.077
tauAch                            357.720    143.999         183.913    537.998
tauNor                            345.221    -68.565         167.086    532.373
beta                              288.338    166.609         195.912    517.465
h0                                565.645     22.462         244.043    811.669
mNor                              333.404     29.554         215.851    600.954
mAch                              477.317    228.439         251.704    724.427
