Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             137.743     -4.268         156.184    390.779
N                                 139.833     76.434         123.297    299.971
M                                 209.682    -25.113         163.003    435.703
k1                                357.591    -24.253         212.254    617.685
k2                                157.946     41.981         120.085    319.459
tau1                               75.785     -0.544          83.329    207.728
tau2                              277.706     36.686         178.721    503.923
tauAch                            331.473    131.141         169.194    496.944
tauNor                            319.218    -63.971         158.086    486.668
beta                              268.101    152.987         182.037    477.437
h0                                521.009     25.148         223.131    749.491
mNor                              308.130     27.173         192.956    553.086
mAch                              436.743    210.177         229.863    663.276
