Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.503     -5.682         167.161    421.861
N                                 164.421     67.903         126.175    336.823
M                                 221.328    -31.782         183.660    464.677
k1                                374.851    -24.024         228.863    654.572
k2                                161.169     49.108         122.527    330.413
tau1                               76.795      2.799          83.823    216.754
tau2                              289.395     38.847         192.052    534.196
tauAch                            343.141    136.166         179.702    519.531
tauNor                            337.796    -63.407         168.033    516.907
beta                              282.156    162.056         193.725    503.033
h0                                552.237     32.805         229.650    789.376
mNor                              325.540     31.076         203.833    583.702
mAch                              458.867    224.909         238.420    701.522
