Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.264     -4.677         170.360    440.934
N                                 155.679     89.600         128.661    327.017
M                                 229.544    -28.375         170.180    477.254
k1                                391.368    -22.578         228.802    681.074
k2                                169.359     46.525         118.708    338.628
tau1                               82.025     -0.411          87.917    220.586
tau2                              300.298     38.772         192.723    549.506
tauAch                            359.098    144.690         180.243    539.816
tauNor                            346.598    -68.736         173.100    533.968
beta                              289.398    167.433         192.022    518.807
h0                                567.602     22.855         245.237    814.164
mNor                              334.081     29.300         205.331    601.467
mAch                              477.738    228.292         250.424    724.932
