Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             133.705     -3.464         155.741    380.384
N                                 136.255     72.617         116.569    288.805
M                                 200.870    -24.249         162.609    419.335
k1                                340.816    -20.890         201.872    590.994
k2                                149.609     40.661         110.132    302.445
tau1                               70.869      1.711          80.426    197.485
tau2                              262.373     35.027         166.589    480.185
tauAch                            314.981    125.727         150.727    473.249
tauNor                            303.380    -61.704         148.494    466.398
beta                              256.076    148.128         172.389    456.331
h0                                498.111     27.247         218.939    715.422
mNor                              295.205     24.981         185.946    528.773
mAch                              418.126    198.841         221.716    633.653
