Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             142.181     -9.626         169.874    418.950
N                                 133.802     86.449         128.726    309.876
M                                 217.700    -28.030         168.432    458.121
k1                                376.282    -26.816         222.588    658.150
k2                                161.753     49.355         124.679    335.321
tau1                               76.588      3.688          85.674    218.936
tau2                              290.051     39.755         186.771    535.696
tauAch                            340.435    134.042         176.119    514.731
tauNor                            326.378    -67.378         168.743    508.071
beta                              276.041    157.107         190.148    497.989
h0                                539.136     25.331         235.409    778.050
mNor                              322.047     31.668         203.076    586.999
mAch                              463.035    226.006         248.586    705.772
