Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              87.686    -16.336          99.915    256.935
N                                  86.135     58.588          70.867    174.480
M                                 127.077    -18.048         100.213    262.130
k1                                218.699    -18.663         137.094    391.224
k2                                100.533     36.297          71.315    191.258
tau1                               46.371      9.086          52.861    127.239
tau2                              172.431     22.744         112.147    311.409
tauAch                            189.779     65.967          90.310    277.225
tauNor                            177.620    -33.522          91.523    281.703
beta                              152.714     82.521         104.012    279.796
h0                                299.637     14.079         131.482    431.192
mNor                              192.781     23.124         121.804    344.704
mAch                              278.101    134.704         140.698    415.842
