Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              62.784     -6.357          72.248    183.416
N                                  60.710     36.551          51.638    130.334
M                                  92.711    -15.170          72.613    194.164
k1                                157.129    -10.958          93.745    277.356
k2                                 68.866     24.383          50.681    134.496
tau1                               32.942      3.880          36.854     90.443
tau2                              123.007     16.200          78.543    224.520
tauAch                            139.105     52.197          70.024    207.670
tauNor                            134.885    -25.071          68.912    211.300
beta                              115.079     64.067          76.649    206.507
h0                                225.378     12.948          94.718    321.523
mNor                              137.541     15.889          84.833    245.062
mAch                              194.938     95.914         103.549    295.923
