Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              64.544      2.369          71.813    175.434
N                                  77.564     27.340          52.409    147.208
M                                  94.627    -11.834          73.860    196.660
k1                                152.694     -7.010          89.326    264.033
k2                                 70.095     15.976          50.050    134.922
tau1                               32.056     -0.347          33.938     87.147
tau2                              118.612     15.812          75.833    215.184
tauAch                            150.072     59.037          73.957    225.174
tauNor                            145.455    -27.598          69.139    220.849
beta                              122.530     72.930          79.667    214.668
h0                                239.538     15.883         101.039    340.352
mNor                              137.468      9.314          82.750    238.138
mAch                              189.236     86.583          97.470    285.404
