Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             141.028    -13.753         166.153    418.205
N                                 135.111     85.906         117.150    298.028
M                                 212.718    -28.904         165.588    445.434
k1                                359.242    -25.713         216.999    637.376
k2                                158.195     50.677         117.034    317.477
tau1                               75.518      8.246          83.520    208.782
tau2                              280.689     37.764         189.078    514.050
tauAch                            324.470    122.213         158.087    485.055
tauNor                            307.988    -60.630         156.910    485.554
beta                              265.206    150.311         181.967    479.051
h0                                520.637     28.396         225.424    745.468
mNor                              314.177     32.184         196.927    567.072
mAch                              452.048    216.978         230.265    683.320
