Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.835     -4.057         177.321    438.660
N                                 154.254     89.795         130.998    326.607
M                                 229.517    -27.297         177.701    476.804
k1                                392.619    -22.381         244.560    681.260
k2                                170.777     45.245         120.248    341.233
tau1                               82.050     -0.872          86.209    222.106
tau2                              301.419     39.029         197.524    550.008
tauAch                            361.773    146.013         181.153    542.630
tauNor                            347.220    -69.764         172.905    534.439
beta                              289.829    167.580         201.690    519.426
h0                                567.196     22.726         247.289    815.123
mNor                              334.187     28.761         211.784    602.138
mAch                              478.123    228.445         243.371    725.106
