Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              30.340      0.936          34.759     83.896
N                                  37.014     13.590          26.532     71.363
M                                  46.306     -4.835          36.038     95.631
k1                                 74.983     -3.611          43.503    129.210
k2                                 35.813      6.559          24.378     68.174
tau1                               15.295     -0.656          17.650     42.486
tau2                               58.923      8.279          37.692    105.522
tauAch                             76.599     29.422          37.313    113.639
tauNor                             71.067    -14.228          34.602    108.397
beta                               60.203     35.812          39.620    105.728
h0                                118.528      6.310          51.629    168.483
mNor                               66.821      4.326          40.510    117.172
mAch                               93.473     42.621          49.855    140.770
