Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.489     -4.498         173.657    426.938
N                                 152.265     81.830         120.336    322.770
M                                 223.628    -28.912         166.431    468.726
k1                                379.620    -23.393         229.304    660.902
k2                                165.164     47.336         130.714    335.725
tau1                               78.477      2.669          86.877    220.484
tau2                              292.610     39.413         182.951    537.648
tauAch                            349.471    139.634         178.568    526.864
tauNor                            338.725    -67.666         168.070    521.637
beta                              284.978    164.404         196.481    509.467
h0                                555.697     30.287         243.511    798.363
mNor                              329.427     29.367         210.164    590.766
mAch                              466.683    223.552         242.827    708.828
