Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             142.744     -3.455         162.256    406.473
N                                 149.209     75.806         125.266    312.002
M                                 214.063    -28.540         166.446    448.978
k1                                362.582    -22.151         231.199    630.666
k2                                157.756     45.024         119.662    320.478
tau1                               74.445      1.867          84.274    210.028
tau2                              280.067     37.646         179.347    514.496
tauAch                            335.537    133.944         165.539    506.314
tauNor                            326.115    -64.654         158.854    500.858
beta                              273.726    157.908         179.904    487.955
h0                                533.704     29.582         230.498    766.098
mNor                              315.181     28.202         198.834    563.719
mAch                              444.924    213.912         236.314    676.982
