Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             131.771     -2.654         145.501    373.573
N                                 148.979     60.966         114.541    299.115
M                                 196.890    -28.244         148.881    412.730
k1                                330.695    -19.659         205.456    575.938
k2                                142.851     42.169         113.923    290.375
tau1                               68.150      1.954          74.152    190.984
tau2                              255.490     33.975         171.755    470.346
tauAch                            305.164    121.993         158.451    462.253
tauNor                            302.082    -56.077         149.834    460.199
beta                              251.766    145.474         168.838    447.167
h0                                491.847     30.401         206.798    702.610
mNor                              289.014     26.408         179.282    514.272
mAch                              405.004    196.141         208.097    617.863
