Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.673     -3.625         175.792    439.608
N                                 162.864     84.427         127.877    332.531
M                                 229.812    -29.662         184.465    478.441
k1                                389.091    -22.452         239.319    677.203
k2                                168.604     47.027         126.595    337.221
tau1                               81.276     -0.082          84.706    219.893
tau2                              299.218     38.643         196.489    548.147
tauAch                            358.186    144.309         182.560    539.545
tauNor                            348.401    -67.913         176.047    535.008
beta                              291.170    168.964         199.677    519.743
h0                                570.666     26.328         249.374    816.445
mNor                              335.024     29.240         212.445    600.050
mAch                              475.262    227.611         244.632    722.348
