Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.565     -5.721         172.406    431.293
N                                 149.625     86.754         130.370    323.285
M                                 225.912    -27.434         168.980    472.122
k1                                386.333    -24.247         238.706    672.377
k2                                168.581     46.270         128.078    340.477
tau1                               79.739      0.800          84.713    221.012
tau2                              297.403     39.816         187.201    545.164
tauAch                            356.502    141.843         177.900    535.796
tauNor                            341.149    -69.176         170.220    527.200
beta                              286.933    165.529         189.289    514.209
h0                                561.642     24.800         238.906    806.958
mNor                              331.138     29.417         216.740    597.999
mAch                              473.567    227.449         244.299    719.337
