Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             138.746     -4.049         162.243    396.498
N                                 144.363     74.524         116.344    302.212
M                                 208.089    -27.666         160.652    436.408
k1                                351.410    -21.572         211.523    612.523
k2                                153.035     43.935         115.727    310.598
tau1                               72.422      2.388          78.886    203.455
tau2                              271.080     36.540         179.613    498.772
tauAch                            324.756    128.955         170.210    490.118
tauNor                            315.318    -62.469         166.761    485.459
beta                              265.341    153.349         183.158    473.599
h0                                518.312     29.068         219.962    743.172
mNor                              305.997     27.297         194.038    547.415
mAch                              432.712    207.388         225.331    657.543
