Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.214     -0.549         176.834    428.791
N                                 165.945     87.595         131.356    335.502
M                                 225.787    -32.067         170.769    475.675
k1                                378.216    -20.809         224.221    657.886
k2                                163.921     47.667         118.921    331.074
tau1                               77.889      1.224          86.528    217.505
tau2                              292.363     38.376         194.271    537.785
tauAch                            352.152    141.195         177.444    534.230
tauNor                            345.976    -69.312         167.649    531.618
beta                              295.435    173.071         190.262    518.116
h0                                575.506     35.912         237.595    818.084
mNor                              335.142     31.043         201.338    587.419
mAch                              465.842    219.590         244.346    707.771
