Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             166.274      0.524         185.139    461.869
N                                 208.813     82.119         137.930    377.442
M                                 238.579    -46.913         179.968    508.152
k1                                375.573    -10.084         230.733    674.275
k2                                161.419     52.253         119.155    313.323
tau1                               78.546      0.464          80.078    203.967
tau2                              292.987     34.186         196.663    544.010
tauAch                            355.616    138.825         183.285    542.042
tauNor                            366.347    -59.439         179.314    561.381
beta                              302.939    177.946         199.158    531.556
h0                                593.381     38.086         252.129    843.946
mNor                              350.646     30.337         203.510    581.545
mAch                              469.040    218.239         242.642    717.178
