Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.909    -15.557         181.690    440.024
N                                 142.783     96.465         121.864    308.515
M                                 222.644    -29.127         169.804    462.313
k1                                382.200    -26.613         232.879    674.571
k2                                167.376     53.100         118.103    329.983
tau1                               81.112      5.678          85.958    216.780
tau2                              297.063     38.410         196.516    539.904
tauAch                            340.951    129.815         163.693    506.065
tauNor                            322.019    -63.094         170.605    506.958
beta                              274.362    154.526         192.113    497.204
h0                                539.663     21.038         223.592    773.927
mNor                              327.875     34.103         215.568    591.970
mAch                              474.109    228.688         245.289    715.794
