Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             142.244    -27.336         180.080    435.831
N                                 140.131     93.593         108.435    282.210
M                                 209.949    -33.480         167.278    437.006
k1                                329.607    -22.040         230.559    622.481
k2                                159.001     55.787         105.184    290.492
tau1                               74.891     20.924          75.460    194.426
tau2                              268.794     32.941         177.951    485.847
tauAch                            293.996     96.471         138.335    433.100
tauNor                            290.361    -46.454         144.911    454.876
beta                              244.710    134.983         175.977    448.783
h0                                489.669     35.154         209.583    694.111
mNor                              315.956     33.023         188.299    541.041
mAch                              448.385    200.191         225.112    662.495
