Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              57.797      5.615          60.521    150.199
N                                  94.646      7.223          67.835    186.654
M                                  83.050    -14.749          64.767    173.146
k1                                124.829     -3.403          72.382    217.392
k2                                 58.485     12.919          37.364    109.486
tau1                               26.053     -1.334          27.592     69.116
tau2                               98.343     12.468          62.580    179.721
tauAch                            129.847     50.269          66.815    199.624
tauNor                            131.937    -20.747          60.895    197.285
beta                              110.184     67.060          70.042    190.659
h0                                218.471     20.452          89.654    305.286
mNor                              118.639      7.569          66.983    196.935
mAch                              160.634     71.434          80.526    238.181
