Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             132.003    -11.386         147.351    378.045
N                                 122.128     81.017         106.501    272.026
M                                 194.635    -30.366         149.265    407.105
k1                                335.806    -21.488         195.097    585.584
k2                                144.902     47.377         111.537    290.454
tau1                               69.448      6.202          78.278    191.987
tau2                              258.133     37.081         166.942    476.376
tauAch                            301.584    114.747         153.099    452.839
tauNor                            288.493    -55.335         149.752    451.407
beta                              244.773    134.216         166.122    439.263
h0                                475.487     19.335         200.764    683.281
mNor                              287.701     32.959         184.489    517.881
mAch                              414.832    207.945         217.916    627.476
