Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             155.513     -3.945         180.112    442.587
N                                 159.851     88.302         131.862    330.019
M                                 230.562    -29.018         177.023    479.227
k1                                391.526    -22.130         230.438    681.427
k2                                169.514     46.617         128.092    337.954
tau1                               82.192     -0.562          88.670    220.258
tau2                              300.551     38.595         201.555    549.909
tauAch                            359.932    145.221         183.492    541.354
tauNor                            348.733    -68.472         174.221    536.351
beta                              290.928    168.675         199.475    520.617
h0                                570.778     23.785         245.802    817.563
mNor                              335.307     29.118         205.144    601.841
mAch                              477.989    228.031         244.393    725.410
