Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              96.133     -0.154         105.842    268.901
N                                 101.753     49.799          79.876    209.045
M                                 143.157    -18.076         111.247    298.883
k1                                241.089    -13.534         142.425    416.870
k2                                106.514     27.867          78.748    213.386
tau1                               49.695      0.418          54.227    139.888
tau2                              186.616     24.894         118.766    340.252
tauAch                            226.680     90.979         113.764    340.291
tauNor                            218.958    -43.897         107.331    335.004
beta                              183.608    106.576         122.479    326.000
h0                                356.629     20.413         153.480    512.449
mNor                              210.185     17.272         132.087    373.559
mAch                              294.983    140.241         148.811    447.549
