Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.782     -8.269         178.976    446.012
N                                 157.422     88.551         126.125    324.981
M                                 227.998    -31.081         172.388    474.889
k1                                385.872    -23.122         234.629    678.694
k2                                167.016     50.494         128.161    330.708
tau1                               81.985      2.384          82.582    216.822
tau2                              298.094     37.850         197.303    545.254
tauAch                            349.868    138.478         181.127    524.683
tauNor                            339.834    -64.390         176.388    526.049
beta                              284.991    164.242         185.514    512.034
h0                                561.337     24.439         229.063    801.391
mNor                              332.884     31.529         205.004    597.042
mAch                              474.880    228.087         248.787    721.031
