Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              24.182      0.344          27.415     67.788
N                                  28.356     11.629          21.348     56.166
M                                  37.469     -3.713          29.030     77.222
k1                                 61.500     -3.237          35.768    105.868
k2                                 29.122      5.508          20.509     56.072
tau1                               12.445     -0.483          14.243     34.988
tau2                               48.416      6.809          30.290     86.441
tauAch                             62.019     23.922          28.543     91.785
tauNor                             57.338    -11.738          29.369     87.425
beta                               48.441     28.608          33.478     85.396
h0                                 95.261      4.608          40.125    135.760
mNor                               54.095      3.686          33.894     95.899
mAch                               76.365     35.214          40.398    115.193
