Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             155.695     -4.657         180.184    444.338
N                                 159.732     88.709         126.120    329.507
M                                 230.511    -29.094         179.006    479.235
k1                                390.501    -22.045         240.016    681.087
k2                                169.092     46.967         123.235    336.863
tau1                               82.399      0.128          86.932    219.723
tau2                              299.408     38.624         197.875    548.633
tauAch                            358.416    144.048         183.376    539.164
tauNor                            347.396    -67.666         176.202    535.091
beta                              290.224    168.380         194.057    519.884
h0                                570.313     24.103         237.821    816.034
mNor                              335.185     29.214         209.873    601.300
mAch                              478.265    227.632         247.217    724.983
