Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             152.928     -4.200         178.838    436.216
N                                 154.493     87.323         127.595    326.420
M                                 228.366    -27.891         174.254    475.679
k1                                388.570    -22.486         238.270    675.302
k2                                169.482     45.698         128.817    339.794
tau1                               81.165      0.455          89.781    221.982
tau2                              298.932     39.327         193.773    546.447
tauAch                            358.909    143.905         171.723    538.808
tauNor                            345.105    -68.999         172.983    531.372
beta                              289.030    167.131         196.145    517.442
h0                                565.177     26.069         242.344    811.743
mNor                              333.287     29.041         212.171    599.025
mAch                              475.364    226.882         251.891    720.589
