Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.025     -4.774         160.195    419.527
N                                 145.155     83.603         129.605    318.115
M                                 222.310    -26.698         166.158    464.178
k1                                380.900    -24.466         237.188    660.487
k2                                166.449     45.402         118.273    339.163
tau1                               77.702      1.152          88.514    220.781
tau2                              294.517     39.657         196.801    538.247
tauAch                            352.158    140.564         176.035    528.945
tauNor                            336.910    -69.663         169.421    518.860
beta                              283.219    162.886         189.834    506.966
h0                                551.114     26.637         244.951    794.583
mNor                              326.761     28.982         208.943    590.390
mAch                              465.580    224.748         244.074    708.202
