Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             115.809    -16.758         132.777    336.767
N                                 111.849     75.578          89.400    236.019
M                                 170.213    -23.954         137.098    353.777
k1                                296.960    -24.827         179.821    523.376
k2                                132.576     46.321          96.764    260.396
tau1                               60.599      8.088          66.704    171.912
tau2                              232.214     31.106         150.355    422.175
tauAch                            261.047     95.309         126.292    384.375
tauNor                            241.487    -48.797         129.062    385.759
beta                              209.140    114.566         143.537    381.112
h0                                409.150     17.491         176.881    589.855
mNor                              255.607     29.868         164.074    463.350
mAch                              369.544    181.904         192.558    558.457
