Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             140.392    -10.014         159.604    409.654
N                                 142.603     77.993         112.909    292.922
M                                 208.956    -25.650         163.639    433.645
k1                                342.710    -21.356         219.147    607.559
k2                                155.687     44.108         110.087    301.912
tau1                               74.772      9.610          77.935    198.676
tau2                              264.928     35.022         169.557    485.604
tauAch                            312.435    117.538         146.590    467.054
tauNor                            298.088    -56.429         154.482    468.105
beta                              258.470    150.019         181.790    465.799
h0                                511.177     34.084         206.993    723.950
mNor                              303.219     26.800         196.637    543.075
mAch                              437.526    201.024         222.091    653.847
