Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             129.592    -14.589         153.732    387.668
N                                 123.138     80.421         109.288    268.994
M                                 195.112    -25.675         144.994    406.134
k1                                325.323    -22.734         202.768    581.298
k2                                145.915     46.469         106.642    286.302
tau1                               70.243     10.627          75.556    190.398
tau2                              256.455     33.378         160.675    465.385
tauAch                            291.394    107.703         144.452    432.898
tauNor                            274.761    -52.941         145.591    436.732
beta                              239.398    135.507         164.439    434.475
h0                                470.153     29.763         195.774    671.811
mNor                              286.582     29.144         183.073    516.653
mAch                              414.737    195.344         206.713    622.646
