Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             138.795    -11.135         165.874    409.742
N                                 130.269     84.754         124.976    299.293
M                                 211.850    -26.972         166.217    444.384
k1                                364.669    -26.442         226.297    639.765
k2                                157.883     48.800         115.081    324.452
tau1                               75.127      4.918          83.281    211.928
tau2                              281.719     38.442         194.019    518.790
tauAch                            328.636    127.815         165.451    495.021
tauNor                            313.657    -64.261         163.954    490.049
beta                              267.138    151.680         182.160    481.944
h0                                521.726     24.919         220.899    751.615
mNor                              313.667     31.061         202.758    570.177
mAch                              451.450    219.231         235.022    685.741
