Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             157.580     -3.221         175.073    446.238
N                                 168.623     84.785         130.957    337.126
M                                 232.286    -30.464         171.381    482.599
k1                                390.984    -21.301         227.305    681.566
k2                                169.313     47.055         127.780    335.936
tau1                               82.526     -0.359          86.640    219.224
tau2                              300.206     38.312         192.787    549.835
tauAch                            360.258    145.232         184.432    542.540
tauNor                            351.931    -66.958         177.167    539.558
beta                              293.155    170.566         199.461    523.171
h0                                576.269     26.078         237.935    822.334
mNor                              337.173     29.144         206.587    601.856
mAch                              478.170    227.707         250.926    725.732
