Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              19.924     -0.222          22.229     56.794
N                                  21.836     10.458          17.724     45.194
M                                  30.947     -3.240          23.047     64.091
k1                                 51.797     -3.061          31.007     89.397
k2                                 23.840      5.235          16.649     46.897
tau1                               10.449     -0.178          11.836     29.655
tau2                               40.558      5.660          25.898     72.983
tauAch                             50.555     19.675          24.487     75.092
tauNor                             47.147     -9.774          23.537     72.173
beta                               39.773     23.208          27.717     70.556
h0                                 78.005      3.591          33.891    111.593
mNor                               44.998      3.464          27.976     80.627
mAch                               64.004     30.111          34.205     96.868
