Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.435     -5.471         168.369    440.498
N                                 153.275     90.344         131.652    325.293
M                                 228.936    -28.067         184.177    476.113
k1                                390.838    -22.932         232.476    680.766
k2                                169.047     46.633         124.721    338.608
tau1                               81.907     -0.126          86.814    220.401
tau2                              299.702     38.904         199.342    548.903
tauAch                            358.024    143.794         177.631    538.175
tauNor                            344.810    -68.572         170.538    532.069
beta                              288.270    166.608         200.122    517.461
h0                                565.727     22.360         237.224    811.668
mNor                              333.254     29.505         211.468    601.070
mAch                              477.667    228.451         239.431    724.608
