Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.508    -10.495         170.815    436.217
N                                 140.552     94.176         121.374    314.406
M                                 223.716    -28.071         167.105    466.699
k1                                386.666    -25.491         232.499    677.525
k2                                166.266     49.787         127.923    335.807
tau1                               80.783      1.982          83.522    219.216
tau2                              298.037     38.834         187.829    545.430
tauAch                            348.206    137.623         173.826    522.355
tauNor                            332.746    -66.813         164.601    518.254
beta                              279.665    159.420         193.139    505.861
h0                                549.138     19.786         233.651    790.363
mNor                              327.971     32.005         209.736    596.453
mAch                              473.872    229.618         251.389    720.022
