Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             155.296     -0.019         175.851    433.675
N                                 165.144     81.394         132.845    335.827
M                                 230.708    -27.887         179.227    479.574
k1                                389.028    -21.335         236.282    672.191
k2                                172.075     43.939         123.367    342.082
tau1                               80.706     -0.605          91.694    223.490
tau2                              300.881     39.440         194.821    546.671
tauAch                            365.430    147.834         182.459    547.531
tauNor                            352.252    -70.415         167.856    538.704
beta                              294.897    171.757         202.798    523.741
h0                                573.913     29.890         250.888    823.836
mNor                              337.349     27.128         203.458    600.414
mAch                              474.369    224.974         244.405    719.558
