Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              43.917     -7.389          49.566    126.664
N                                  63.976     46.370          30.584     85.162
M                                  45.674     -5.334          30.404     86.831
k1                                 86.028      8.192          53.604    156.224
k2                                 34.114      7.039          14.649     48.390
tau1                               29.533     -4.684          16.402     48.230
tau2                               60.114     -3.967          35.675    103.384
tauAch                             62.223     19.585          23.903     81.009
tauNor                             65.513      3.699          32.503    101.250
beta                               42.178     18.362          27.966     76.248
h0                                 79.471    -17.377          36.908    115.215
mNor                               61.900      4.361          30.878     93.572
mAch                               81.883     26.482          39.633    121.125
