Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             132.932     -9.711         159.152    391.533
N                                 127.925     78.971         115.519    285.629
M                                 201.218    -26.937         161.769    422.815
k1                                343.073    -23.681         215.224    603.674
k2                                148.827     46.559         114.857    303.678
tau1                               71.378      5.270          76.418    199.482
tau2                              265.352     36.108         166.218    489.000
tauAch                            310.283    120.619         161.490    467.478
tauNor                            298.511    -59.441         149.717    465.544
beta                              253.575    144.635         173.358    457.017
h0                                496.432     25.788         207.181    713.199
mNor                              297.181     29.397         186.244    537.763
mAch                              426.070    206.027         223.777    646.924
