Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             139.455     -8.206         160.073    408.023
N                                 135.762     81.979         119.193    302.485
M                                 212.042    -27.528         168.809    445.532
k1                                362.310    -24.596         230.756    634.280
k2                                156.745     46.932         117.992    321.914
tau1                               74.546      3.795          84.068    210.461
tau2                              278.942     38.257         179.931    515.598
tauAch                            330.129    129.594         172.296    498.650
tauNor                            317.508    -64.309         161.075    493.221
beta                              268.686    153.847         185.053    483.351
h0                                525.532     26.745         224.607    755.862
mNor                              312.385     29.927         199.326    566.059
mAch                              447.725    216.541         238.979    680.570
