Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.582     -6.644         171.142    442.997
N                                 156.718     88.824         131.015    326.369
M                                 228.598    -30.098         180.771    476.133
k1                                388.455    -23.252         240.709    679.927
k2                                167.564     48.822         119.986    334.479
tau1                               81.692      0.708          85.266    218.076
tau2                              298.596     38.381         197.294    547.933
tauAch                            354.597    141.305         174.976    532.743
tauNor                            343.409    -66.646         176.159    530.461
beta                              287.410    165.875         194.887    515.482
h0                                565.210     23.138         236.557    808.410
mNor                              333.367     30.597         215.477    599.297
mAch                              476.040    228.761         257.125    723.388
