Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             161.869     -0.064         183.206    450.701
N                                 183.837    104.427         138.821    355.257
M                                 234.724    -33.248         180.413    489.522
k1                                391.434    -19.023         223.615    681.991
k2                                169.359     47.849         116.903    331.938
tau1                               82.960     -1.594          85.832    216.522
tau2                              300.939     37.087         189.963    551.653
tauAch                            363.396    146.695         178.527    549.025
tauNor                            357.427    -69.555         173.126    548.892
beta                              311.089    186.392         196.282    538.477
h0                                622.976     49.557         248.322    873.029
mNor                              360.869     47.957         205.393    606.481
mAch                              480.471    224.579         246.750    728.146
